"Year","County Code","County Name","GEOID","Month","Small Farm Unreported (mg)"
2002,15,"AUGUSTA",51015,1,0.052464
2002,15,"AUGUSTA",51015,2,0.06558
2002,15,"AUGUSTA",51015,3,0.104928
2002,15,"AUGUSTA",51015,4,0.537756
2002,15,"AUGUSTA",51015,5,2.964216
2002,15,"AUGUSTA",51015,6,12.68973
2002,15,"AUGUSTA",51015,7,21.188898
2002,15,"AUGUSTA",51015,8,19.614978
2002,15,"AUGUSTA",51015,9,7.233474
2002,15,"AUGUSTA",51015,10,0.91812
2002,15,"AUGUSTA",51015,11,0.144276
2002,15,"AUGUSTA",51015,12,0.059022
2002,181,"SURRY",51181,1,0
2002,181,"SURRY",51181,2,0
2002,181,"SURRY",51181,3,0
2002,181,"SURRY",51181,4,0.037842
2002,181,"SURRY",51181,5,0.208502
2002,181,"SURRY",51181,6,2.234904
2002,181,"SURRY",51181,7,2.985808
2002,181,"SURRY",51181,8,1.522584
2002,181,"SURRY",51181,9,0.38213
2002,181,"SURRY",51181,10,0.038584
2002,181,"SURRY",51181,11,0.008904
2002,181,"SURRY",51181,12,0
2002,159,"RICHMOND",51159,1,0.038624
2002,159,"RICHMOND",51159,2,0.11968
2002,159,"RICHMOND",51159,3,0.368288
2002,159,"RICHMOND",51159,4,0.476
2002,159,"RICHMOND",51159,5,0.558144
2002,159,"RICHMOND",51159,6,0.634304
2002,159,"RICHMOND",51159,7,0.705024
2002,159,"RICHMOND",51159,8,0.714816
2002,159,"RICHMOND",51159,9,0.670208
2002,159,"RICHMOND",51159,10,0.517888
2002,159,"RICHMOND",51159,11,0.359584
2002,159,"RICHMOND",51159,12,0.277984
2002,153,"PRINCE WILLIAM",51153,1,0.013904
2002,153,"PRINCE WILLIAM",51153,2,0.01738
2002,153,"PRINCE WILLIAM",51153,3,0.1738
2002,153,"PRINCE WILLIAM",51153,4,0.231154
2002,153,"PRINCE WILLIAM",51153,5,0.28677
2002,153,"PRINCE WILLIAM",51153,6,0.91245
2002,153,"PRINCE WILLIAM",51153,7,6.003052
2002,153,"PRINCE WILLIAM",51153,8,5.704116
2002,153,"PRINCE WILLIAM",51153,9,2.89377
2002,153,"PRINCE WILLIAM",51153,10,0.830764
2002,153,"PRINCE WILLIAM",51153,11,0.279818
2002,153,"PRINCE WILLIAM",51153,12,0.033022
2002,7,"AMELIA",51007,1,0.253464
2002,7,"AMELIA",51007,2,0.231984
2002,7,"AMELIA",51007,3,0.2148
2002,7,"AMELIA",51007,4,0.52984
2002,7,"AMELIA",51007,5,0.920776
2002,7,"AMELIA",51007,6,3.538472
2002,7,"AMELIA",51007,7,4.472136
2002,7,"AMELIA",51007,8,2.629152
2002,7,"AMELIA",51007,9,0.657288
2002,7,"AMELIA",51007,10,0.269216
2002,7,"AMELIA",51007,11,0.280672
2002,7,"AMELIA",51007,12,0.3222
2002,119,"MIDDLESEX",51119,1,0
2002,119,"MIDDLESEX",51119,2,0
2002,119,"MIDDLESEX",51119,3,0
2002,119,"MIDDLESEX",51119,4,0.019425
2002,119,"MIDDLESEX",51119,5,0.2457
2002,119,"MIDDLESEX",51119,6,1.082025
2002,119,"MIDDLESEX",51119,7,1.954575
2002,119,"MIDDLESEX",51119,8,1.3839
2002,119,"MIDDLESEX",51119,9,0.559125
2002,119,"MIDDLESEX",51119,10,0.005775
2002,119,"MIDDLESEX",51119,11,0
2002,119,"MIDDLESEX",51119,12,0
2002,111,"LUNENBURG",51111,1,0
2002,111,"LUNENBURG",51111,2,0
2002,111,"LUNENBURG",51111,3,0
2002,111,"LUNENBURG",51111,4,0
2002,111,"LUNENBURG",51111,5,0.011606
2002,111,"LUNENBURG",51111,6,0.292637
2002,111,"LUNENBURG",51111,7,4.479916
2002,111,"LUNENBURG",51111,8,3.50667
2002,111,"LUNENBURG",51111,9,0
2002,111,"LUNENBURG",51111,10,0
2002,111,"LUNENBURG",51111,11,0
2002,111,"LUNENBURG",51111,12,0
2002,115,"MATHEWS",51115,1,0.140812
2002,115,"MATHEWS",51115,2,0.365084
2002,115,"MATHEWS",51115,3,0.373216
2002,115,"MATHEWS",51115,4,0.414732
2002,115,"MATHEWS",51115,5,0.497764
2002,115,"MATHEWS",51115,6,0.497764
2002,115,"MATHEWS",51115,7,0.456248
2002,115,"MATHEWS",51115,8,0.497764
2002,115,"MATHEWS",51115,9,0.414732
2002,115,"MATHEWS",51115,10,0.3317
2002,115,"MATHEWS",51115,11,0.166064
2002,115,"MATHEWS",51115,12,0.124548
2002,33,"CAROLINE",51033,1,0
2002,33,"CAROLINE",51033,2,0
2002,33,"CAROLINE",51033,3,0.01618
2002,33,"CAROLINE",51033,4,0.126204
